date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:17	1494/1494	---M-Z	200	added ('OK')	image/png	date:Thu,%2010%20Aug%202017%2016:20:19%20GMT	http://zdnet2.cbsistatic.com/fly/images/sprites/icons-white-s10e75706f2.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet2.cbsistatic.com/fly/images/sprites/icons-white-s10e75706f2.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:17	3159/3159	---M-Z	200	added ('OK')	image/png	date:Thu,%2010%20Aug%202017%2016:20:19%20GMT	http://zdnet1.cbsistatic.com/fly/images/sprites/icons-white-2x-s4d0af9d1fa.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet1.cbsistatic.com/fly/images/sprites/icons-white-2x-s4d0af9d1fa.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:18	1265/1265	---M-Z	200	added ('OK')	image/png	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet2.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/mag-white01.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet2.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/mag-white01.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:18	4105/4105	---M-Z	200	added ('OK')	image/png	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet4.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/logo.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet4.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/logo.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:18	1442/1442	---M-Z	200	added ('OK')	image/png	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet3.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/mag-white01-2x.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet3.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/mag-white01-2x.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:18	8295/8295	---M-Z	200	added ('OK')	image/png	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet4.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/logo-2x.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet4.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/logo-2x.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:18	1285/1285	---M-Z	200	added ('OK')	image/png	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet2.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/mag.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet2.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/mag.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:18	1499/1499	---M-Z	200	added ('OK')	image/png	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet4.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/mag-2x.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet4.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/mag-2x.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:19	946/946	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet1.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/header-divider.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet1.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/header-divider.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:20	10738/10738	---M-Z	200	added ('OK')	image/png	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet3.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/video/playOverlay.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet3.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/video/playOverlay.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:21	109160/109160	---M-Z	200	added ('OK')	image/png	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet2.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/maps/continents-430.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet2.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/maps/continents-430.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:21	346/346	---M--	403	error ('Forbidden')	text/html	date:Wed,%2023%20Aug%202017%2007:24:20%20GMT	http://zdnet4.cbsistatic.com/images/features/buyingcycle/buying-cycle-sprites.jpg	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet4.cbsistatic.com/images/features/buyingcycle/buying-cycle-sprites.38.delayed	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:22	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Aug%202017%2007:24:21%20GMT	http://www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/GET	C:/Users/trung%20anh/Desktop/techsite/asa/www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/GET.39.delayed	(from http://zdnet3.cbsistatic.com/fly/bundles/zdnetjs/js/libs/mpulse-1.0.2.js)
14:24:22	1/1	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2023%20Aug%202017%2007:24:21%20GMT	http://www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/GET/	C:/Users/trung%20anh/Desktop/techsite/asa/www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/GET/index.html	(from http://zdnet3.cbsistatic.com/fly/bundles/zdnetjs/js/libs/mpulse-1.0.2.js)
14:24:26	45515/45515	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet2.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/features/buyingcycle/buying-cycle-circle.jpg	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet2.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/features/buyingcycle/buying-cycle-circle.jpg	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:29	111959/111959	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet1.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/features/debate/skin-debate.jpg	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet1.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/features/debate/skin-debate.jpg	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:34	247982/247982	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet4.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/features/nextgen/nextgen-bg.jpg	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet4.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/features/nextgen/nextgen-bg.jpg	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:35	86014/86014	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Aug%202017%2007:24:34%20GMT	http://www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/get/	C:/Users/trung%20anh/Desktop/techsite/asa/www.zdnet.com/article/ibm-blockchain-to-help-prevent-contamination-in-global-food-supply-chain/GET/index.html	(from http://zdnet3.cbsistatic.com/fly/bundles/zdnetjs/js/libs/mpulse-1.0.2.js)
